company_id,broad_sector,pe_ratio,pb_ratio,ev_ebitda,market_cap_crore,free_cash_flow_cr,fcf_yield_pct,sector_median_pe,pe_vs_sector_median_pct,flag
NHPC,Energy,71.17,13.74,18.26,1740404.25,970.0,0.05573417784977254,44.915,58.45485917844818,Caution
NTPC,Energy,30.8,5.24,37.12,907823.11,8644.0,0.9521678733206076,44.915,-31.426026939775127,Discount
DRREDDY,Healthcare,11.73,10.19,14.56,2441803.28,509.0,0.020845250072724943,47.06,-75.07437314067148,Discount
GAIL,Energy,25.84,9.54,33.07,1531867.57,4360.0,0.28461990353382827,44.915,-42.46910831570745,Discount
ONGC,Energy,18.15,10.36,11.72,390111.05,42060.0,10.781545408672736,44.915,-59.59033730379606,Discount
MOTHERSON,Consumer Discretionary,9.54,2.38,33.39,146151.16,925.0,0.6329063689949501,38.005,-74.89803973161426,Discount
NAUKRI,Communication Services,32.88,8.33,11.87,563824.44,-150.0,-0.026604025891463663,48.33,-31.967721911855985,Discount
ICICIPRULI,Financials,20.83,12.38,22.57,1596987.55,105.0,0.006574879059013327,34.24,-39.164719626168235,Discount
IOC,Energy,28.61,4.24,33.71,1418164.33,39635.0,2.794810104975634,44.915,-36.30190359568073,Discount
IRCTC,Consumer Discretionary,60.44,5.74,32.47,1258520.29,667.0,0.05299874823631171,38.005,59.03170635442703,Caution
IRFC,Financials,9.81,3.91,16.66,2618348.58,7906.0,0.3019460457018293,34.24,-71.34929906542055,Discount
INDUSINDBK,Financials,8.99,3.7,28.79,1807433.12,-17468.0,-0.9664534641259643,34.24,-73.74415887850468,Discount
INFY,Information Technology,35.99,8.97,36.7,1112279.92,20117.0,1.808627454139422,63.63,-43.43862957724344,Discount
INDIGO,Consumer Discretionary,76.23,7.87,24.64,1040632.92,9424.0,0.9056027172386589,38.005,100.57887120115774,Caution
LT,Industrials,30.8,2.48,16.63,1124597.5,20445.0,1.8179837675257147,47.155,-34.68349061605344,Discount
ABB,Industrials,75.58,4.48,12.63,1536236.24,1095.0,0.07127809977975783,47.155,60.27992789735976,Caution
TITAN,Consumer Discretionary,10.13,10.51,21.0,1793769.72,1506.0,0.0839572651499547,38.005,-73.34561241941849,Discount
JSWENERGY,Energy,24.79,9.88,35.95,110870.53,-1963.0,-1.7705336124937798,44.915,-44.80685739730602,Discount
MARUTI,Consumer Discretionary,20.78,8.26,29.97,1503863.63,4936.0,0.3282212496887102,38.005,-45.3229838179187,Discount
M&M,Consumer Discretionary,14.22,0.81,29.08,4173085.48,-11245.0,-0.2694648852484086,38.005,-62.58387054334956,Discount
TRENT,Consumer Discretionary,8.65,11.82,34.65,571322.04,841.0,0.14720244295143942,38.005,-77.23983686357059,Discount
SHREECEM,Materials,25.87,1.21,26.58,3154358.33,1929.0,0.06115348347250073,55.62,-53.487953973390866,Discount
SHRIRAMFIN,Financials,68.53,7.91,28.82,868933.47,-31359.0,-3.608906905151208,34.24,100.14602803738318,Caution
COALINDIA,Materials,34.27,14.75,25.15,454024.84,13617.0,2.9991751112119767,55.62,-38.38547285149226,Discount
CHOLAFIN,Financials,16.79,10.36,13.52,971931.96,-38538.0,-3.9650923712808046,34.24,-50.96378504672898,Discount
DMART,Consumer Discretionary,72.53,11.71,36.84,3053088.97,278.0,0.00910553222430331,38.005,90.84331009077752,Caution
PNB,Financials,19.29,10.91,23.64,1825925.6,-29445.0,-1.6126067787208855,34.24,-43.6623831775701,Discount
SBIN,Financials,54.93,2.72,21.53,2400436.05,,,34.24,60.426401869158866,Caution
SBILIFE,Financials,69.98,9.48,31.04,886097.71,-2099.0,-0.23688132542403253,34.24,104.38084112149532,Caution
PIDILITIND,Materials,36.12,12.3,5.36,162274.18,955.0,0.588510137595519,55.62,-35.059331175836036,Discount
HINDUNILVR,Consumer Staples,34.51,11.88,7.52,548890.59,10145.0,1.8482736240750641,50.95,-32.26692836113838,Discount
GODREJCP,Consumer Staples,33.59,8.07,23.55,1327797.2,-1365.0,-0.10280184353453976,50.95,-34.072620215897935,Discount
GRASIM,Industrials,79.35,5.68,15.23,478951.82,-33833.0,-7.063967310949983,47.155,68.27483829922593,Caution
HAL,Industrials,71.89,3.65,8.76,2643616.86,1814.0,0.06861811283803056,47.155,52.454670766620715,Caution
EICHERMOT,Consumer Discretionary,15.62,13.61,19.29,222391.83,890.0,0.4001945575069012,38.005,-58.900144717800295,Discount
BEL,Industrials,17.89,9.22,23.14,1354781.06,-1265.0,-0.09337302073000636,47.155,-62.06128724419467,Discount
BAJFINANCE,Financials,69.2,4.11,15.96,2473271.58,-79931.0,-3.2317922805711454,34.24,102.10280373831775,Caution
TATAMOTORS,Consumer Discretionary,67.07,0.93,15.35,1504106.64,45133.0,3.000651602734764,38.005,76.47677937113535,Caution
TATAPOWER,Energy,14.5,3.48,12.02,1647269.48,3569.0,0.2166615750083587,44.915,-67.71679839697205,Discount
BAJAJFINSV,Financials,15.07,6.08,39.72,1905112.17,-79634.0,-4.180016339930263,34.24,-55.987149532710276,Discount
BHEL,Industrials,29.8,11.43,21.59,540053.85,-2382.0,-0.4410671269170658,47.155,-36.804156505142615,Discount
BPCL,Energy,68.15,0.72,26.59,468662.13,25415.0,5.422883218663305,44.915,51.731047534231344,Caution
BOSCHLTD,Consumer Discretionary,58.43,6.47,16.07,2599556.05,1536.0,0.05908701218425355,38.005,53.7429285620313,Caution
BANKBARODA,Financials,16.89,4.15,24.7,590971.02,-7559.0,-1.279081332956056,34.24,-50.671728971962615,Discount
